,Onshore/Offshore,Hydrocarbon type,Reservoir status,Depth,Period,Lithology,Gross,Netpay,Porosity,Permeability,STRIKE-SLIP,TRANSPRESSION,BASEMENT-I,GRAVITY,EXTENSION,EVAPORITE,COMPRESSION,INVERSION,EROSION,LINKED,DIAPIR,SYNSEDIMENTATION,SHALE,TRANSTENSION,REACTIVATION,UPLIFT,WRENCH,SALT,PASSIVE MARGIN,THRUST,RIFT,INTRACRATONIC,FORELAND,DELTA,SUB-THRUST,SUB-SALT,BACKARC,,FOREARC
0,0,1,1,3451.3656267104543,1,1,1486.9794025306821,1080.52688172043,2.3595914742451147,3660.5449992800013,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,2,75.77712096332786,2,2,4436.192988297974,1185.2043010752689,2.9741563055062157,3408.1716557777922,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
2,1,1,2,20.714285714285715,2,2,5067.2172485967085,1458.1512096774193,9.26545293072824,3710.111666524445,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3,1,1,3,1796.4533114395183,2,1,4619.970744933878,948.483870967742,8.15355239786856,2646.0048720001705,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
4,1,1,3,7191.135741652983,2,1,4748.36271525069,1422.7318548387098,0.6118117229129659,3394.83805488926,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
5,1,1,3,1387.3672687465792,3,3,5096.717771858053,1397.4220430107528,7.1126998223801055,3720.06499992,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
6,1,1,1,1681.287465790914,4,1,4863.111074112834,1438.4200268817203,11.702397868561278,3343.6532511356654,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
7,0,1,1,117.26600985221675,2,1,5028.016411378556,1409.0752688172042,6.142895204262876,3690.2449996800005,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
8,1,1,3,5706.447728516694,3,2,4616.221149272191,1448.268817204301,11.702397868561278,3680.3316662311117,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
9,1,1,3,2720.3311439518334,5,3,4815.132765674056,1114.8817204301076,4.029218472468916,3627.030065299913,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
10,1,2,4,4454.476299945265,2,1,1486.9794025306821,1358.9274193548388,0.3524866785079926,3504.1716611111187,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
11,0,1,2,4675.010946907499,6,1,56.413328893540104,1135.752688172043,0.9421847246891648,3398.644988480016,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
12,1,3,2,80.96332785987958,7,3,4767.392303301303,1412.970430107527,5.244138543516873,3710.111666524445,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
13,1,1,2,1695.0437876299945,1,1,958.5729711730568,318.10752688172045,0.9421847246891648,3552.671663111116,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
14,1,1,3,397.26600985221677,2,1,4088.6424222243363,1266.8877688172042,13.716607460035522,3745.106600664533,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
15,0,1,5,211.50519978106186,8,1,4467.485538959186,1149.774193548387,3.6597690941385426,3552.671663111116,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
16,0,1,3,122.99945265462507,1,1,4375.762582056893,1203.1209677419354,0.6118117229129659,2166.004712000384,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
17,1,1,2,2886.505199781062,2,1,5155.975692132052,1449.6503293010753,7.213587921847245,3702.1585997952,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
18,1,4,3,1898.984674329502,3,3,3862.5307297117306,1011.7802419354839,15.890674955595026,3748.0052666663114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
19,1,3,6,2454.3212917350847,3,2,4504.441109314052,1276.1317204301076,18.38587921847247,3360.6716524444632,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
20,0,1,7,74.32687465790914,8,1,4901.664970031396,1213.9354838709678,3.6597690941385426,3360.6716524444632,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
21,1,1,6,508.37712096332785,5,1,4979.229426315289,1428.6048387096773,8.15355239786856,3690.2449996800005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
22,1,1,3,3250.312096332786,1,1,3794.251783845495,1317.2043010752689,0.8356127886323274,1350.0042000010667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
23,1,4,3,8700.298303229338,8,1,4578.808914470555,1114.8817204301076,11.19227353463588,3749.005066666578,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
24,0,1,6,769.9073891625616,8,4,4035.891970316811,810.2177419354839,2.3595914742451147,3082.671623111169,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
25,1,1,3,2612.2851669403394,5,3,4541.548901151175,1203.1209677419354,9.26545293072824,3716.082066563911,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
